ANACOLUTOS	 1. m. Gram. Inconsecuencia en la construcción del discurso.
que	1. pron. relat. m., f. y n. Introduce una oración relativa y refiere a un antecedente expreso, generalmente nominal. Se pondrá los vestidos que tú elijas. Ella, que finalmente no vino, tenía un compromiso.
quichicientos	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
quiroteca	 1. f. guante (‖ prenda para cubrir la mano).
quita	1. f. Der. Remisión o liberación que de la deuda o parte de ella hace el acreedor al deudor. quita y espera 1. f. Der. Petición que un deudor hace judicialmente a todos sus acreedores, bien para que estos aminoren los créditos o aplacen el cobro, o bien para una u otra de ambas concesiones.
rapapolvos	 1. m. coloq. Reprensión áspera.
recusamos	 1. tr. No querer admitir o aceptar algo. 2. tr. Der. Ejercitar la recusación.
redaños	 1. m. Anat. mesenterio. 2. m. pl. Fuerzas, bríos, valor.
regicida	 Que atenta contra la vida del soberano, aunque no consume el hecho. U. t. c. s.
remediavagos	1. m. Libro o manual que resume una materia en poco espacio, para facilitar su estudio. 2. m. Procedimiento destinado a hacer algo con el mínimo esfuerzo.
remolacha	1. f. Planta herbácea anual, de la familia de las quenopodiáceas, con tallo derecho, grueso, ramoso, de uno a dos metros de altura, hojas grandes, enteras, ovales, con nervio central rojizo, flores pequeñas y verdosas en espiga terminal, fruto seco con una semilla lenticular, y raíz grande, carnosa, fusiforme, generalmente encarnada, que es comestible y de la cual se extrae azúcar.
reptaba	 1. tr. desus. Desafiar, retar a alguien. 1. intr. Andar arrastrándose como algunos reptiles.
requeté	1. m. En las guerras civiles españolas de los siglos XIX y XX, cuerpo de voluntarios que luchaba en defensa de la tradición religiosa y de la monarquía carlista.
requilorios	1. m. Adorno o complemento excesivo o innecesario. U. m. en pl. 2. m. coloq. Formalidad e innecesario rodeo en que suele perderse el tiempo antes de hacer o decir lo que es obvio, fácil y sencillo. U. m. en pl.
resma	 1. f. Conjunto de 20 manos de papel. resma sucia 1. f. resma de papel de hilo, que tiene sus dos costeras correspondientes.
retobo	1. adj. Col. Grueso y de poca altura. 2. m. Arg., Chile y Ur. Acción y efecto de retobar. 3. m. Chile. Arpillera, tela basta o encerado con que se retoba.
retobón	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
retortero	1. m. Vuelta alrededor. 2. m. And. Cerco, mancha que rodea algo. al retortero 1. loc. adv. alrededor. andar al retortero 1. loc. verb. coloq. Andar sin sosiego de acá para allá.
retruécanos	1. m. Juego con las palabras en que se suele producir una repetición. 2. m. Ret. Inversión de los términos de una proposición o cláusula en la siguiente para que el sentido de esta última forme contraste o antítesis con el de la primera, como en ¿Siempre se ha de sentir lo que se dice? ¿Nunca se ha de decir lo que se siente?
reyertas	 1. f. Contienda, altercación o cuestión.
rifirrafe	 1. m. coloq. Contienda o bulla ligera y sin trascendencia.
rilar	 1. intr. Temblar, tiritar. 2. prnl. Temblar, vibrar.
rosicler	 Rosa claro y suave, semejante al de la aurora. U. m. c. s. m. 3. adj. poét. De color rosicler.
roznando	 1. tr. Comer con ruido. 2. tr. Mover una cosa pesada ladeándola con palancas. 3. intr. rebuznar.
réprobos	 Apartada de la convivencia por razones distintas de las religiosas. U. t. c. s.
rúa	1. f. Calle de un pueblo. 2. f. camino carretero (‖ camino para el tránsito de carruajes). 3. f. En Galicia, fiesta o diversión nocturna de aldeanos.
sabañones	1. m. Hinchazón o ulceración de la piel, principalmente de las manos, los pies y las orejas, que es causada por frío excesivo y produce ardor y picazón.
salmodiaba	 1. tr. Cantar algo con cadencia monótona. 2. intr. Cantar salmodias.
salvohonor	 1. m. coloq. culo (‖ nalgas).
sandios	 1. adj. Necio o simple. U. t. c. s.
sangradura	1. f. Parte hundida del brazo opuesta al codo. 2. f. Corte o punción de la vena para sacar sangre. 3. f. Salida que se da a las aguas de un río o canal o de un terreno encharcado.
sapitos	1. m. Arg., Chile y Ur. Bote que dan las piedras lanzadas sobre la superficie del agua. 2. m. El Salv. Señal de tráfico consistente en un hito de piedra, que a veces tiene un reflectante.
sarabanda	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
sarracina	 V. sarracino.
sarracino	1. adj. sarraceno. U. t. c. s. 2. f. Pelea entre muchos, especialmente cuando es confusa o tumultuaria. 3. f. Riña o pendencia en que hay heridos o muertes.
sementara	 1. tr. p. us. Sembrar un terreno.
serpollo	1. m. Cada una de las ramas nuevas que brotan al pie de un árbol o en la parte por donde se le ha podado. 2. m. renuevo (‖ vástago de una planta).
sesquipedalismo	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
sicofante	 1. m. sicofanta.
sigüí	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
sileno	 1. m. Ser de la mitología grecorromana, de aspecto semejante al del sátiro, pero con orejas, patas y cola de caballo.
sindiós	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
sinecura	 1. f. Empleo o cargo retribuido que ocasiona poco o ningún trabajo.
sinestésicas	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
sino	1. m. hado. 2. m. desus. pero (‖ defecto). 3. m. desus. Cosa que evoca en el entendimiento la idea de otra. pasar el sino 1. loc. verb. coloq. And. Pasar grandes trabajos o disgustos.
solivianta	1. tr. Mover el ánimo de alguien para inducirle a adoptar alguna actitud rebelde u hostil. U. t. c. prnl. 2. tr. Inquietar o alterar a alguien.
soliviantados	Entradas que contienen la forma «soliviantados» | Diccionario de la lengua española | RAE - ASALE
soliviantan	1. tr. Mover el ánimo de alguien para inducirle a adoptar alguna actitud rebelde u hostil. U. t. c. prnl. 2. tr. Inquietar o alterar a alguien.
somantas	 1. f. coloq. Tunda, zurra.
soplagaitas	 1. m. y f. coloq. Persona tonta o estúpida.
soplapollas	 1. m. y f. malson. Persona tonta o estúpida.
soslayo	1. adj. Soslayado, oblicuo. al soslayo 1. loc. adv. oblicuamente. de soslayo 1. loc. adv. oblicuamente. 2. loc. adv. De costado y perfilando bien el cuerpo para pasar por alguna estrechura.
sotol	1. m. Méx. Planta liliácea de la que se obtiene una bebida alcohólica. 2. m. Méx. Licor que se obtiene del sotol, y, por ext., el de la caña de azúcar o el del maíz.
suavizantes	 1. adj. Que suaviza. 2. m. Líquido usado para suavizar y perfumar la colada. 3. m. acondicionador (‖ cosmético).
supina	 Que se da en alto grado. Estupidez supina.
sílfide	 1. f. Según los cabalistas, ser fantástico o espíritu elemental del aire. 2. f. coloq. Mujer muy delgada y esbelta.
tabarras	 1. f. coloq. Esp. Molestia causada por algo pesado e insistente. Dar la tabarra.
tagarnina	 1. f. cardillo1. 2. f. fest. coloq. Cigarro puro muy malo.
taifa	1. f. Cada uno de los reinos en que se dividió la España musulmana al disolverse el califato cordobés. Reyes de taifa. 2. f. Bando, facción.
tamo	1. m. Pelusa que se desprende del lino, del algodón o de la lana. 2. m. Polvo o paja muy menuda de varias semillas trilladas, como el trigo, el lino, etc.
taperujamos	 1. prnl. coloq. Arrebujarse o taparse de cualquier modo con la ropa.
tebeo	1. adj. desus. tebano. Apl. a pers., era u. t. c. s. 1. m. Publicación infantil o juvenil cuyo asunto se desarrolla en series de dibujos. 2. m. Serie de aventuras contada en forma de historietas gráficas.
tebeos	Entradas que contienen la forma «tebeos» | Diccionario de la lengua española | RAE - ASALE
tegumento	1. m. Biol. Órgano que sirve de protección externa al cuerpo humano y de los animales, con varias capas y anejos como glándulas, escamas, pelo y plumas.
tentetieso	1. m. Muñeco de materia ligera, o hueco, que lleva un contrapeso en la base, y que, movido en cualquier dirección, vuelve siempre a quedar derecho.
termolábil	 1. adj. Que se altera fácilmente por la acción del calor.
tinerfeño	1. adj. Natural de Tenerife, isla del archipiélago canario, en España. U. t. c. s. 2. adj. Perteneciente o relativo a Tenerife o a los tinerfeños.
tisis	 1. f. Tuberculosis pulmonar. 2. f. Med. Enfermedad en que hay consunción gradual y lenta, fiebre y ulceración en algún órgano.
titis	 1. m. y f. coloq. Persona joven, especialmente una mujer. 2. m. y f. coloq. U. como apelativo, especialmente entre jóvenes.
tomar	1. tr. Coger o asir con la mano algo. 2. tr. Coger, aunque no sea con la mano. Tomar tinta con la pluma. Tomar agua de la fuente. 3. tr. Recibir algo y hacerse cargo de ello.
tontolaba	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
torce	 1. f. Cada una de las vueltas que da alrededor del cuello una cadena o un collar. 2. f. p. us. collar.
tordo	 Que tiene el pelo mezclado de negro y blanco, como el plumaje del tordo. U. t. c. s. 2. m. y f. Pájaro de unos 24 cm de largo, cuerpo grueso, pico delgado y negro, lomo gris aceitunado, vientre blanco amarillento con manchas pardas redondas o triangulares y las cobijas de color amarillo rojizo. Es común en España y se alimenta de insectos y de frutos, principalmente de aceitunas. U. en m. ref. a la especie.
torrefacto	 Tostado con algo de azúcar.
torrezno	 1. m. Pedazo de tocino frito o para freír.
trabucaires	 1. adj. Valentón, osado. 2. m. Antiguo faccioso catalán armado de trabuco.
trampantojos	 1. m. coloq. Trampa o ilusión con que se engaña a alguien haciéndole ver lo que no es.
transigir	1. intr. Consentir en parte con lo que no se cree justo, razonable o verdadero, a fin de acabar con una diferencia. U. t. c. tr. 2. tr. Ajustar algún punto dudoso o litigioso, conviniendo las partes voluntariamente en algún medio que componga y parta la diferencia de la disputa.
trasunto	 1. m. Copia escrita de un original. 2. m. Imitación exacta, imagen o representación de algo.
trilero	 1. m. y f. Persona que dirige el juego del trile.
tráfago	1. m. Conjunto de negocios, ocupaciones o faenas que ocasionan mucha fatiga o molestia. Desbordado por el tráfago de sus ocupaciones. 2. m. tráfico.
tránsfugas	1. m. y f. Persona que pasa de una ideología o colectividad a otra. 2. m. y f. Persona que con un cargo público no abandona este al separarse del partido que lo presentó como candidato.
tunante	 1. adj. Pícaro, bribón, taimado. U. t. c. s. 2. adj. desus. Que tuna. Era u. t. c. s.
táper	 1. m. Recipiente con cierre hermético, que se usa para guardar o llevar alimentos.
tártaro	1. m. Tartrato ácido de potasio que forma una costra cristalina en el fondo y paredes de la vasija donde fermenta el mosto. 2. m. Sarro de los dientes.
títere	1. m. Muñeco que se mueve por medio de hilos u otro procedimiento. 2. m. Persona que se deja manejar. 3. m. Preocupación de escaso fundamento.
ubérrimo	 1. adj. Muy abundante y fértil.
ultracrepidario	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
urdido	1. tr. Preparar los hilos en la urdidera para pasarlos al telar. 2. tr. Maquinar y disponer cautelosamente algo contra alguien, o para la consecución de algún designio.
urdimbre	1. f. Estambre o pie después de urdido. 2. f. Conjunto de hilos que se colocan en el telar paralelamente unos a otros para formar una tela.
uxoricida	 1. m. y f. Persona que mata a su mujer. U. t. c. adj.
vacaburrez	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
valedor	 1. m. y f. Persona que vale (‖ ampara).
vera	1. f. orilla1. 2. f. Sal. y Zam. Faja pintada en la parte inferior de una pared, friso. a la vera 1. loc. adv. a la orilla. 2. loc. adv. Al lado próximo.
verecundia	 1. f. vergüenza.
verga	1. f. pene. 2. f. Arco de acero de la ballesta. 3. f. vara (‖ palo largo y delgado). 4. f. Tira de plomo con ranuras en los cantos, que sirve para asegurar los vidrios de las ventanas.
vergajazo	 1. m. Golpe dado con un vergajo.
vergajo	 1. m. Verga del toro, que después de cortada, seca y retorcida, se usa como látigo.
verja	 1. f. Enrejado que sirve de puerta, ventana o, especialmente, cerca.
vestidos	Entradas que contienen la forma «vestidos» | Diccionario de la lengua española | RAE - ASALE
vida	1. f. Fuerza o actividad esencial mediante la que obra el ser que la posee. 2. f. Energía de los seres orgánicos. 3. f. Hecho de estar vivo. Le debe la vida a un medicamento.
vitualla	1. f. Conjunto de cosas necesarias para la comida, especialmente en los ejércitos. U. m. en pl. 2. f. coloq. Abundancia de comida, y sobre todo de menestra o verdura.
vituallas	Entradas que contienen la forma «vituallas» | Diccionario de la lengua española | RAE - ASALE
voluta	1. f. Figura en forma de espiral. Voluta de humo. 2. f. Arq. Adorno en forma de espiral o caracol, que se coloca en los capiteles de los órdenes jónico y compuesto.
vombátido	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
yerma	 1. adj. inhabitado. Apl. a lugar, u. t. c. s. m. 2. adj. No cultivado. Apl. a terreno, u. t. c. s. m. padre del yermo
zahorí	1. m. y f. Persona a quien se atribuye la facultad de descubrir lo que está oculto, especialmente manantiales subterráneos. 2. m. y f. Persona perspicaz y escudriñadora, que descubre o adivina fácilmente lo que otras personas piensan o sienten.
zalamerías	 1. f. Demostración de cariño afectada y empalagosa.
zancajear	 1. intr. Andar mucho de una parte a otra, por lo común aceleradamente.
zarpa	1. f. Mano de ciertos animales cuyos dedos no se mueven con independencia unos de otros, como en el león y el tigre. 2. f. Lodo o barro que se queda en la parte baja de la ropa.
zarramplín	 1. m. Pelagatos, pobre diablo. 2. m. coloq. Hombre chapucero y de poca habilidad en una profesión u oficio.
zonzo	 1. adj. Soso, insulso, insípido. Apl. a pers., u. t. c. s. 2. adj. Tonto, simple, mentecato. ave zonza
zorronglona	 Que ejecuta pesadamente, de mala gana y murmurando o refunfuñando, lo que le mandan. U. t. c. s.
zote	 1. adj. Ignorante, torpe y muy tardo en aprender. U. t. c. s.
zumbón	 Que frecuentemente anda burlándose, o tiene el genio festivo y poco serio. U. t. c. s. 2. m. cencerro zumbón.
¡Donosa	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
¡Eres	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Ábside	1. m. Arq. En una iglesia, parte abovedada y por lo común semicircular que sobresale en la fachada posterior, donde normalmente se instalaban el altar y el presbiterio.
íncubo	 Que, según la opinión vulgar, bajo apariencia de varón tenía trato carnal con una mujer. U. t. c. s. m.
índole	 1. f. Condición e inclinación natural propia de cada persona. 2. f. Naturaleza, calidad y condición de las cosas.
óbelo	 1. m. obelisco.
óbolo	1. m. Pequeña cantidad con la que se contribuye para un fin determinado. 2. m. Moneda de plata de la antigua Grecia, que era la sexta parte de la dracma.
órdago	1. m. En el juego del mus, envite del resto. de órdago 1. loc. adj. coloq. extraordinario (‖ fuera de lo común). Borrachera, calor de órdago.
Acantalear	 1. intr. impers. rur. Ar. Caer granizo grueso. 2. intr. impers. rur. Ar. Llover copiosamente.
Jarrear	Entradas que contienen la forma «Jarrear» | Diccionario de la lengua española | RAE - ASALE
Cernidillo	 1. m. Lluvia muy menuda. 2. m. Modo de andar con pasos cortos y contoneándose.
taifa	1. f. Cada uno de los reinos en que se dividió la España musulmana al disolverse el califato cordobés. Reyes de taifa. 2. f. Bando, facción.
tentetieso	1. m. Muñeco de materia ligera, o hueco, que lleva un contrapeso en la base, y que, movido en cualquier dirección, vuelve siempre a quedar derecho.
cotarro	1. m. coloq. Reunión de personas. U. con intención despect. o fest. 2. m. coloq. Conjunto de personas con determinadas características comunes. El cotarro político está alborotado.
motejar	 1. tr. Notar, censurar las acciones de alguien con motes o apodos.
jalear	1. tr. Animar con palmadas, ademanes y expresiones a los que bailan, cantan, etc. U. t. c. prnl. 2. tr. Llamar a los perros a voces para animarlos a seguir la caza.
pota	 1. f. Calamar basto.
ruín	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
ruin	 Baja, de malas costumbres y procedimientos.
alóctono	 1. adj. Que no es originario del lugar en que se encuentra.
justipreciar	 1. tr. Apreciar o tasar algo.
grilla	1. m. y f. Insecto ortóptero saltador, de unos tres centímetros de largo, color negro rojizo, con una mancha amarilla en el arranque de las alas, cabeza redonda y ojos muy prominentes, cuyo macho sacude y roza con tal fuerza los élitros, que produce un sonido agudo y monótono. U. en m. ref. a la especie.
español	1. adj. Natural de España, país de Europa. U. t. c. s. 2. adj. Perteneciente o relativo a España o a los españoles. 3. adj. Perteneciente o relativo al español (‖ lengua). Léxico español.
bulo	 1. m. Noticia falsa propalada con algún fin.
dextrógiro	 Que desvía a la derecha el plano de la luz polarizada cuando se mira hacia la fuente. U. t. c. s. m.
levógiro	 Que desvía a la izquierda el plano de la luz polarizada cuando se mira hacia la fuente. U. t. c. s. m.
sinistrorso	 1. adj. Bot. levógiro (‖ que gira en sentido contrario a las agujas del reloj).
cucucho	 a cucucho 1. loc. adv. El Salv. a cuestas (‖ sobre los hombros o las espaldas).
camasquince	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
maniatado	 1. tr. Atar las manos.
zampabollos	 1. m. y f. coloq. Persona que come con exceso y con ansia.
pelusa	1. f. Pelo muy tenue de algunas frutas. 2. f. Pelo menudo que con el uso se desprende de las telas. 3. f. Vello tenue que aparece en la cara de las personas y en el cuerpo de los polluelos de algunas aves.
cacharro	1. m. Vasija, recipiente. 2. m. Trozo de vasija rota. U. m. en pl. Tropezó y la taza se hizo cacharros. 3. m. coloq. Aparato, artefacto. 4. m. coloq. Aparato viejo o que funciona mal.
virus	1. m. Organismo de estructura muy sencilla, compuesto de proteínas y ácidos nucleicos, y capaz de reproducirse solo en el seno de células vivas específicas, utilizando su metabolismo.
nucleico	 ácido nucleico
ácido	1. adj. Que tiene sabor agrio o de vinagre. 2. adj. Que tiene las características o propiedades de un ácido. 3. adj. Áspero, desabrido. 4. adj. mordaz (‖ propenso a murmurar).
ensoberbecido	 Agitarse, alterarse, encresparse.
sacro	1. adj. sagrado. 2. adj. Anat. Perteneciente o relativo a la región en que está situado el hueso sacro, en la parte posterior de la pelvis. Nervios sacros.
profano	1. adj. Que no es sagrado ni sirve a usos sagrados, sino puramente secular. 2. adj. Que no demuestra el respeto debido a las cosas sagradas.
plutarco	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
trompeta	1. f. Instrumento musical de viento, consistente en un tubo largo de metal que va ensanchándose desde la boquilla al pabellón y produce diversidad de sonidos según la fuerza con que la boca impele el aire.
impele	 1. tr. impulsar.
sitis	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
pancreas	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
cirrosis	1. f. Med. Enfermedad caracterizada por una lesión que se desarrolla en las vísceras, especialmente en el hígado, y consiste en la induración de los elementos conjuntivos y atrofia de los demás.
induración	 1. f. Med. Acción y efecto de endurecer.
baritono	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
barítono	 1. m. Mús. Voz media entre la de tenor y la de bajo. 2. m. Mús. Hombre que tiene voz de barítono.
tenor	1. m. Constitución u orden firme y estable de algo. 2. m. Contenido literal de un escrito u oración. a este tenor 1. loc. adv. Por el mismo estilo.
arrequive	1. m. Labor o guarnición que se ponía en el borde del vestido, como hoy el ribete o galoncillo que se echa al canto. 2. m. pl. coloq. Adornos o atavíos. Juana iba con todos sus arrequives.
luz	1. f. Agente físico que hace visibles los objetos. 2. f. Claridad que irradian los cuerpos en combustión, ignición o incandescencia. 3. f. corriente eléctrica. El recibo de la luz.
limpia	1. f. Acción y efecto de limpiar. Hice una limpia en el trastero. 2. f. C. Rica y Cuba. Acción de limpiar el terreno para sembrar. 3. f. C. Rica. Época en que se limpia el terreno para sembrar.
virgen	1. m. y f. Persona que no ha tenido relaciones sexuales. U. t. c. adj. 2. m. y f. Persona que, conservando su castidad, la ha consagrado a una divinidad.
bogavante	1. m. Primer remero de cada banco de la galera. 2. m. Lugar en que se sentaba el bogavante. 1. m. Crustáceo marino, decápodo, de color vivo, muy semejante por su forma y tamaño a la langosta, de la cual se distingue principalmente porque las patas del primer par terminan en pinzas muy grandes y robustas.
PENÍNSULA	1. f. Tierra cercada por el agua, y que solo por una parte relativamente estrecha está unida y tiene comunicación con otra tierra de extensión mayor.
tía	 no hay tu tía V. tutía. V. tío.
vulgar	 Que pertenece al vulgo. Era u. t. c. s. 3. adj. Que es impropio de personas cultas o educadas.
vulgo	1. m. Común o conjunto de la gente popular. 2. m. Conjunto de las personas que en cada materia no conocen más que la parte superficial. 3. m. germ. mancebía (‖ casa de prostitución).
mancebía	1. f. Casa de prostitución. 2. f. p. us. amancebamiento. 3. f. desus. juventud (‖ período de la vida). 4. f. desus. Acción atrevida o transgresora del orden, propia de los jóvenes.
amancebamiento	 1. m. p. us. Acción y efecto de amancebarse.
amancebarse	 1. prnl. Establecer una relación marital sin mediar vínculo de matrimonio.
Dialéctica	Entradas que contienen la forma «Dialéctica» | Diccionario de la lengua española | RAE - ASALE
rama	1. f. Cada una de las partes que nacen del tronco o tallo principal de la planta y en las cuales brotan por lo común las hojas, las flores y los frutos.
dialéctico	1. adj. Perteneciente o relativo a la dialéctica. 2. m. y f. Persona con especial capacidad para debatir y argumentar. 3. f. Arte de dialogar, argumentar y discutir.
Herrejón	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
peredo	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
lópez	esos son otros López 1. expr. coloq. U. para dar a entender que algo no tiene relación alguna con otra cosa, aunque parezca de su misma especie.
engorronado	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
engorronarse	 1. prnl. rur. Ar. Vivir completamente retirado y casi como escondido.
Zorronglón	 Que ejecuta pesadamente, de mala gana y murmurando o refunfuñando, lo que le mandan. U. t. c. s.
lantano	1. m. Elemento químico metálico, de núm. atóm. 57, que encabeza el grupo de los lantánidos, de color blanco grisáceo, maleable y combustible, escaso en la corteza terrestre, donde se encuentra disperso en algunos minerales, usado en metalurgia y en cerámica. (Símb. La).
sancirole	 1. m. Bobalicón, papanatas.
regalía	1. f. Preeminencia, prerrogativa o excepción particular y privativa que en virtud de suprema potestad ejerce un soberano en su reino o Estado; p. ej., el batir moneda.
vibrisas	1. f. pl. Bot. Pelos sensoriales de las plantas insectívoras, como los de la dionea o atrapamoscas. 2. f. pl. Zool. Pelos rígidos más o menos largos que actúan como receptores táctiles, propios de gran número de mamíferos y que aparecen, aislados o formando grupos, en distintas partes de la cabeza y de los miembros, especialmente sobre los labios; p. ej., los bigotes del gato.
fraternidad	1. f. Amistad o afecto entre hermanos o entre quienes se tratan como tales. 2. f. hermandad. 3. f. En los Estados Unidos de América, asociación estudiantil, por lo general masculina, que habitualmente cuenta con una residencia especial.
truculento	 1. adj. Que sobrecoge o asusta por su morbosidad, exagerada crueldad o dramatismo.
impelía	 1. tr. impulsar.
impulsar	 1. tr. Dar empuje para producir movimiento. 2. tr. Incitar, estimular.
alféizar	1. m. Vuelta o derrame que hace la pared en el corte de una puerta o ventana, tanto por la parte de adentro como por la de afuera, dejando al descubierto el grueso del muro.
alféizares	1. m. Vuelta o derrame que hace la pared en el corte de una puerta o ventana, tanto por la parte de adentro como por la de afuera, dejando al descubierto el grueso del muro.
kapo	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
lager	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
logomaquia	 1. f. Discusión en que se atiende a las palabras y no al fondo del asunto.
bloste	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
panafresco	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
oxímetro	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
versolibrista	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
tirillas	 1. m. y f. coloq. Persona delgada y endeble. U. t. c. adj.
pibil	 Que se envuelve en hojas de plátano y se cocina bajo tierra, en barbacoa u horneado.
barbacoa	1. f. Parrilla usada para asar al aire libre carne o pescado. 2. f. Conjunto de alimentos preparados en una barbacoa. Comerse una barbacoa de pescado.
papanatas	 1. m. y f. coloq. Persona simple y crédula o demasiado cándida y fácil de engañar.
mofletes	 1. m. coloq. Carrillo demasiado grueso y carnoso, que parece que está hinchado.
descomulgar	 1. tr. excomulgar.
excomulgar	1. tr. Rel. En el catolicismo, apartar a alguien de la comunión de los fieles y del uso de los sacramentos. 2. tr. Declarar a alguien fuera de la comunión o trato con otra u otras personas.
Catotas	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Catota	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
raigambre	1. f. Conjunto de raíces de los vegetales, unidas y trabadas entre sí. 2. f. Conjunto de antecedentes, intereses, hábitos o afectos que hacen firme y estable algo o que ligan a alguien a un sitio.
hediondez	 1. f. Cosa hedionda. 2. f. Mal olor.
aforismo	 1. m. Máxima o sentencia que se propone como pauta en alguna ciencia o arte.
siliciarse	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
cilisiarse	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
manceria	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
manseria	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
mancerina	 1. f. Plato con una abrazadera circular en el centro, donde se coloca y sujeta la jícara en que se sirve el chocolate.
casporco	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
gaspurgo	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
andaluz	1. adj. Natural de Andalucía, comunidad autónoma de España. U. t. c. s. 2. adj. Perteneciente o relativo a Andalucía o a los andaluces. 3. adj. Perteneciente o relativo al andaluz (‖ variedad). Léxico andaluz.
andalucía	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
endécada	 1. f. Período de once años.
dehesa	1. f. Tierra generalmente acotada y arbolada, por lo común destinada a pastos. dehesa carneril 1. f. dehesa en que pastan carneros. dehesa potril
arramblar	 Dejar cubierto de arena el suelo por donde pasa, en tiempo de avenidas. 2. tr. Arrastrarlo todo, llevándoselo con violencia.
aporcar	1. tr. Cubrir con tierra ciertas plantas, como el apio, el cardo, la escarola y otras hortalizas, para que se pongan más tiernas y blancas.
abajar	 1. tr. bajar. U. t. c. intr. y c. prnl. 2. tr. Veter. Cortar mucho del casco de las caballerías.
marasmo	 1. m. Suspensión, paralización, inmovilidad, en lo moral o en lo físico. 2. m. Med. Extremado enflaquecimiento del cuerpo humano.
idem	1. pron. El mismo, lo mismo. U. generalmente abreviado en las citas para representar el nombre del autor últimamente mencionado, y en las cuentas y listas, para denotar diferentes partidas de una sola especie.
regojo	 1. m. p. us. Muchacho pequeño. 2. m. desus. Pedazo o porción de pan que queda de sobra en la mesa después de haber comido.
zasca	1. m. coloq. Esp. Respuesta cortante, chasco, escarmiento. 2. interj. coloq. Esp. U. para imitar el sonido de un golpe o expresar el efecto de un movimiento brusco. Me dio otro golpe, ¡zasca! Se volvió y, ¡zasca!, pegó un salto.
filólogo	 1. m. y f. Persona versada en filología.
filología	1. f. Ciencia que estudia las culturas tal como se manifiestan en su lengua y en su literatura, principalmente a través de los textos escritos.
festinar	 1. tr. Ec. malversar. 2. tr. desus. Apresurar, precipitar, activar. U. en Cuba, Hond., Méx., Perú, R. Dom. y Ven.
tilín	1. m. Sonido de la campanilla. en un tilín 1. loc. adv. coloq. Chile, Col., Cuba y Ven. en un tris. hacer tilín 1. loc. verb. coloq. Caer en gracia, lograr aprobación, inspirar afecto.
pavesa	1. f. Partecilla ligera que salta de una materia inflamada y acaba por convertirse en ceniza. estar alguien hecho una pavesa 1. loc. verb. coloq. Estar muy extenuado y débil.
